NPOP08	MaxEstLhood	MaxObsLhood
51134	-3192.231	-2490.349
32028	-3192.238	-2490.349
44093	-3191.383	-2490.349
26041	-3191.679	-2490.349
32789	-3189.574	-2490.349
48885	-3190.045	-2490.349
28549	-3192.158	-2490.349
41301	-3191.206	-2490.349
46555	-3189.276	-2490.349
17516	-3190.321	-2490.349
35436	-3189.920	-2490.349
44385	-3191.117	-2490.349
44869	-3191.986	-2490.349
16222	-3192.050	-2490.349
55463	-3190.917	-2490.349
37139	-3191.858	-2490.349
20270	-3190.907	-2490.349
34004	-3190.170	-2490.349
44897	-3191.970	-2490.349
18070	-3191.975	-2490.349
25423	-3192.141	-2490.349
16702	-3192.575	-2490.349
81160	-3191.446	-2490.349
17206	-3192.066	-2490.349
26949	-3191.625	-2490.349
14506	-3191.743	-2490.349
9844	-3190.248	-2490.349
33815	-3192.060	-2490.349
37980	-3191.873	-2490.349
46786	-3191.559	-2490.349
16898	-3191.464	-2490.349
43034	-3190.837	-2490.349
62382	-3188.278	-2490.349
44826	-3190.377	-2490.349
31658	-3190.373	-2490.349
15435	-3192.957	-2490.349
54392	-3191.374	-2490.349
26606	-3190.479	-2490.349
60316	-3192.056	-2490.349
29402	-3190.392	-2490.349
30154	-3188.984	-2490.349
19581	-3191.819	-2490.349
52310	-3191.423	-2490.349
22020	-3190.625	-2490.349
36948	-3191.816	-2490.349
32537	-3193.216	-2490.349
46075	-3191.566	-2490.349
62882	-3191.386	-2490.349
13197	-3190.656	-2490.349
37180	-3192.544	-2490.349
