NPOP08	NPREBOT	NBOT	TBOT	TLEN	MaxEstLhood	MaxObsLhood
11853	48989	1703	9	3	-3184.390	-2490.349
8553	57545	2199	7	2	-3184.449	-2490.349
23015	28333	1011	7	1	-3184.758	-2490.349
16525	45846	937	8	2	-3183.464	-2490.349
5873	47810	1980	7	1	-3184.666	-2490.349
8271	26261	1711	7	2	-3181.091	-2490.349
55260	48914	1058	8	2	-3182.234	-2490.349
12667	44600	7697	8	4	-3185.465	-2490.349
26203	70480	1906	9	3	-3185.177	-2490.349
21099	51099	906	7	1	-3185.244	-2490.349
18318	21568	1910	7	3	-3183.075	-2490.349
18075	40139	2003	7	3	-3182.791	-2490.349
5618	35454	3298	9	2	-3185.383	-2490.349
16030	28660	1502	7	2	-3182.041	-2490.349
10340	35260	4737	7	2	-3184.975	-2490.349
7749	38487	3376	7	3	-3185.168	-2490.349
10027	52685	1807	8	1	-3183.254	-2490.349
12615	41869	2435	6	3	-3183.833	-2490.349
13201	50966	2872	8	2	-3185.750	-2490.349
9195	18596	867	7	1	-3184.287	-2490.349
9826	45643	1637	7	2	-3185.147	-2490.349
17406	42859	902	7	1	-3184.641	-2490.349
13348	46642	796	8	1	-3184.699	-2490.349
10276	22886	1178	8	2	-3183.685	-2490.349
16107	35288	631	7	1	-3184.175	-2490.349
8228	34175	1543	10	1	-3184.505	-2490.349
12467	33566	1165	8	1	-3184.048	-2490.349
47180	38664	1681	8	2	-3184.594	-2490.349
17570	72408	1228	7	2	-3183.747	-2490.349
9456	51954	4971	10	3	-3183.981	-2490.349
7194	36473	3236	8	4	-3184.808	-2490.349
18115	40060	1419	8	2	-3184.573	-2490.349
13061	30052	537	8	1	-3185.166	-2490.349
10703	71390	2388	7	3	-3185.120	-2490.349
23558	49913	1057	8	1	-3184.457	-2490.349
8649	55661	4383	7	3	-3184.166	-2490.349
24618	48747	1824	8	3	-3184.022	-2490.349
14510	39778	1263	9	2	-3185.756	-2490.349
14062	73784	1381	9	2	-3184.595	-2490.349
11540	80016	969	8	2	-3183.080	-2490.349
14628	11048	1884	6	3	-3185.937	-2490.349
10917	56057	689	7	1	-3183.017	-2490.349
14669	26195	1164	7	3	-3184.774	-2490.349
22192	40746	1187	8	2	-3184.183	-2490.349
18081	42262	3301	9	3	-3185.514	-2490.349
16935	24696	1091	7	2	-3184.920	-2490.349
12004	49626	3434	9	3	-3185.827	-2490.349
11907	59263	7622	12	2	-3185.425	-2490.349
19902	22047	2661	9	3	-3183.934	-2490.349
47739	45410	669	7	1	-3184.981	-2490.349
