NPOP08	NANC	NBOT	TBOT	TLEN	MaxEstLhood	MaxObsLhood
15948	8069	261	11	4	-3818.672	-2951.778
16611	28587	181	11	3	-3816.927	-2951.778
20690	19478	135	10	2	-3818.684	-2951.778
16906	11122	196	10	2	-3817.798	-2951.778
10109	55096	376	9	2	-3817.309	-2951.778
17896	55691	161	14	4	-3817.353	-2951.778
9335	31673	400	12	3	-3816.390	-2951.778
19425	23514	309	9	3	-3818.536	-2951.778
26553	14340	165	10	3	-3817.656	-2951.778
19104	35876	127	13	2	-3818.889	-2951.778
19612	27678	258	11	4	-3818.671	-2951.778
19586	13802	241	11	3	-3816.924	-2951.778
16698	19352	218	11	4	-3818.185	-2951.778
18906	37643	190	12	4	-3817.085	-2951.778
16022	5485	217	11	3	-3816.964	-2951.778
15892	39804	198	13	2	-3816.445	-2951.778
35293	30656	155	11	3	-3816.762	-2951.778
26307	52778	242	8	4	-3818.422	-2951.778
17091	17638	239	10	4	-3816.486	-2951.778
9349	18043	244	17	2	-3817.935	-2951.778
19465	32889	113	11	3	-3816.738	-2951.778
22176	24644	133	10	2	-3818.429	-2951.778
12492	19549	267	17	4	-3817.639	-2951.778
14291	50300	229	11	2	-3814.593	-2951.778
14887	26155	438	11	3	-3819.590	-2951.778
26429	59367	346	9	4	-3818.798	-2951.778
16887	34002	126	12	3	-3815.472	-2951.778
13879	46353	186	11	3	-3816.943	-2951.778
10242	55423	240	11	2	-3816.973	-2951.778
28785	46107	125	10	2	-3818.369	-2951.778
23989	34959	211	9	3	-3817.421	-2951.778
12415	64728	358	9	3	-3819.626	-2951.778
14608	46521	237	13	2	-3818.368	-2951.778
14081	23358	184	10	2	-3813.586	-2951.778
20572	18266	194	11	4	-3817.060	-2951.778
21407	25022	269	11	3	-3819.235	-2951.778
21776	42510	184	10	3	-3813.973	-2951.778
80970	52914	184	8	5	-3817.463	-2951.778
77697	13227	219	7	3	-3816.291	-2951.778
14686	20207	170	10	2	-3817.859	-2951.778
10721	59224	264	11	3	-3816.419	-2951.778
30420	48413	158	11	3	-3816.798	-2951.778
9514	56826	223	14	2	-3815.615	-2951.778
16530	22576	118	11	1	-3817.663	-2951.778
13972	35497	491	12	2	-3817.775	-2951.778
15414	27623	170	10	3	-3816.833	-2951.778
11769	13119	244	12	3	-3818.115	-2951.778
18685	39213	119	12	3	-3816.828	-2951.778
10920	15378	375	11	3	-3818.421	-2951.778
16382	19847	131	14	2	-3816.787	-2951.778
