NPOP08	NPREBOT	NBOT	TBOT	TLEN	NANC	RANC	MaxEstLhood	MaxObsLhood
48623	21776	711	7	2	8254	-9.70111e-05	-3125.198	-2486.401
42163	110991	13062	8	1	134	-6.71936e-04	-3084.209	-2486.401
28341	7685	331	8	1	3049	-9.24457e-05	-3153.387	-2486.401
4087	9600	1619	6	4	3609	-9.78332e-05	-3146.360	-2486.401
38290	61191	302	8	1	23042	-9.76681e-05	-3118.119	-2486.401
3367	2255	2647	9	3	868	-9.54714e-05	-3196.76901	-2486.401
20044	133096	19189	4	3	422	-5.75382e-04	-3082.070	-2486.401
9410	4780	970	7	2	1805	-9.73880e-05	-3170.01077	-2486.401
38623	133581	7877	6	2	930	-4.96728e-04	-3083.886	-2486.401
36964	24357	914	9	2	9095	-9.85094e-05	-3124.939	-2486.401
33483	20987	1262	7	4	7910	-9.75775e-05	-3128.550	-2486.401
15790	24855	556	7	2	9247	-9.88760e-05	-3125.478	-2486.401
22344	32048	916	8	2	11958	-9.85834e-05	-3121.246	-2486.401
26763	114396	10614	5	2	147	-6.65699e-04	-3084.550	-2486.401
7945	13031	662	7	2	4870	-9.84237e-05	-3137.065	-2486.401
24645	133550	5434	8	2	277	-6.17821e-04	-3084.909	-2486.401
27855	27121	670	9	2	10004	-9.97323e-05	-3124.166	-2486.401
22175	10313	1265	7	3	3821	-9.92893e-05	-3145.076	-2486.401
13995	131324	28977	6	1	280	-6.15063e-04	-3083.785	-2486.401
21189	21058	642	7	2	7764	-9.97783e-05	-3124.751	-2486.401
54794	135567	12855	5	3	347	-5.96790e-04	-3082.909	-2486.401
17538	16567	625	8	2	6147	-9.91449e-05	-3131.254	-2486.401
19971	21638	985	6	3	8098	-9.82834e-05	-3127.480	-2486.401
7180	132251	1511	8	3	438	-5.71024e-04	-3084.767	-2486.401
28290	21769	732	7	2	8073	-9.91962e-05	-3128.522	-2486.401
31142	120527	13684	4	3	321	-5.92819e-04	-3083.725	-2486.401
7796	23979	645	9	2	8883	-9.93039e-05	-3124.866	-2486.401
5564	19323	1897	8	3	7665	-9.24632e-05	-3134.295	-2486.401
34445	8784	1796	5	4	3402	-9.48568e-05	-3151.085	-2486.401
13060	45292	600	10	2	16909	-9.85284e-05	-3119.472	-2486.401
28412	133068	22254	5	2	170	-6.66282e-04	-3083.271	-2486.401
3173	2703	2538	4	3	1076	-9.21112e-05	-3186.572	-2486.401
30433	126877	3338	7	1	329	-5.95492e-04	-3084.862	-2486.401
4351	8075	724	9	1	3159	-9.38517e-05	-3154.450	-2486.401
9549	22677	374	7	1	8404	-9.92643e-05	-3125.337	-2486.401
16983	42573	910	9	3	15699	-9.97623e-05	-3120.894	-2486.401
8529	138736	19217	5	2	739	-5.23503e-04	-3082.567	-2486.401
36594	20999	1428	7	3	8291	-9.29304e-05	-3131.623	-2486.401
9687	59077	316	7	1	22348	-9.72105e-05	-3118.714	-2486.401
7802	134425	18557	4	4	285	-6.15627e-04	-3084.483	-2486.401
7173	139258	1945	7	1	468	-5.69562e-04	-3083.643	-2486.401
27173	62884	638	7	2	23969	-9.64530e-05	-3118.125	-2486.401
3037	5035	6255	11	4	1964	-9.41430e-05	-3172.405	-2486.401
7122	7427	1343	7	3	2892	-9.43174e-05	-3154.625	-2486.401
60463	17150	974	7	4	6505	-9.69427e-05	-3133.369	-2486.401
15574	117989	3842	9	1	150	-6.66771e-04	-3083.379	-2486.401
5002	7987	1245	9	3	3049	-9.63002e-05	-3152.95314	-2486.401
4775	9133	1656	6	4	3460	-9.70626e-05	-3148.718	-2486.401
10728	120933	8628	7	2	172	-6.55550e-04	-3080.936	-2486.401
16144	116523	585	8	3	209	-6.32351e-04	-3083.082	-2486.401
