NPOP08	NPREBOT	NBOT	TBOT	TLEN	NANC	RANC	MaxEstLhood	MaxObsLhood
18060	36002	453	10	3	2938	-2.78427e-04	-3684.327	-2785.610
33369	84137	6192	10	1	6037	-2.92727e-04	-3741.794	-2810.607
62406	67290	6345	8	1	2877	-3.50252e-04	-3610.958	-2783.765
69691	67215	9334	10	1	3174	-3.39212e-04	-3647.107	-2813.882
17271	95127	1913	7	3	5200	-3.22950e-04	-3701.798	-2792.195
69781	69183	7401	8	3	4489	-3.03903e-04	-3692.313	-2821.592
62406	67290	1759	7	2	4697	-2.95788e-04	-3721.290	-2806.840
70073	60143	4204	8	1	3368	-3.20267e-04	-3690.333	-2826.736
27912	68211	697	7	2	4660	-2.98177e-04	-3749.060	-2831.948
44987	53571	1750	8	2	3218	-3.12472e-04	-3673.690	-2793.991
65971	77534	8407	10	2	6522	-2.75059e-04	-3731.668	-2819.191
14853	63537	1249	8	2	3379	-3.26005e-04	-3704.385	-2797.678
47575	81481	1923	7	1	4986	-3.10415e-04	-3653.458	-2799.524
20987	63555	2605	9	1	2946	-3.41273e-04	-3646.527	-2815.126
62406	67214	9738	10	3	4828	-2.92605e-04	-3805.535	-2828.183
74721	67290	8519	8	1	2877	-3.50252e-04	-3686.840	-2803.576
26857	73069	4728	9	2	3559	-3.35769e-04	-3739.699	-2845.093
41955	75115	3543	8	2	3596	-3.37689e-04	-3683.565	-2808.157
20088	88325	1432	8	1	6051	-2.97867e-04	-3742.131	-2817.531
86017	34512	512	7	1	1490	-3.49170e-04	-3682.883	-2801.896
39696	71431	8451	10	2	4158	-3.15966e-04	-3761.095	-2853.009
39835	78405	7689	9	2	4125	-3.27202e-04	-3691.062	-2809.570
86523	99802	19911	7	2	6299	-3.06977e-04	-3734.899	-2837.992
78567	106873	7695	7	1	5629	-3.27079e-04	-3716.300	-2836.644
53310	31762	1119	9	1	2140	-2.99718e-04	-3718.302	-2814.871
28923	34095	608	10	1	2201	-3.04471e-04	-3674.545	-2780.492
48065	87620	4226	9	1	6948	-2.81617e-04	-3728.320	-2805.293
17648	75031	968	7	1	4317	-3.17260e-04	-3751.502	-2842.317
21859	62619	1298	8	2	3027	-3.36611e-04	-3669.773	-2780.882
83594	60143	2925	8	2	3474	-3.16824e-04	-3658.555	-2774.138
20416	40198	585	8	3	1826	-3.43521e-04	-3647.414	-2787.695
23181	55127	1297	8	1	2943	-3.25579e-04	-3697.420	-2832.793
50832	44094	841	8	2	2891	-3.02747e-04	-3707.837	-2795.559
35961	57742	1760	8	1	3193	-3.21669e-04	-3695.150	-2805.918
60727	33588	1277	9	2	1764	-3.27398e-04	-3637.442	-2804.469
50176	67290	9334	9	1	2877	-3.50252e-04	-3709.510	-2838.462
16255	79723	1535	7	2	5337	-3.00433e-04	-3749.273	-2849.655
15352	118634	3854	8	1	6955	-3.15176e-04	-3732.568	-2844.686
20110	67060	2271	7	1	3423	-3.30563e-04	-3718.796	-2841.851
32894	25696	887	10	2	1383	-3.24676e-04	-3712.258	-2798.169
69690	84137	8518	8	2	5167	-3.10017e-04	-3648.330	-2801.907
52531	20068	431	9	2	1058	-3.26972e-04	-3703.827	-2827.225
31176	53161	1171	8	3	3160	-3.13639e-04	-3713.191	-2814.279
47150	33965	1004	9	1	2047	-3.12106e-04	-3658.615	-2774.767
27822	62849	2383	8	1	3221	-3.30116e-04	-3645.363	-2780.788
87344	50654	3293	9	2	2613	-3.29391e-04	-3592.330	-2749.928
12433	15420	271	13	1	935	-3.11430e-04	-3744.437	-2833.673
10617	47989	552	9	3	2516	-3.27589e-04	-3660.656	-2804.810
14993	39387	866	10	3	2253	-3.17908e-04	-3763.434	-2825.807
25086	60625	1068	8	3	4459	-2.89976e-04	-3723.378	-2810.607
21695	70597	2996	9	2	3995	-3.19105e-04	-3663.253	-2828.051
