NPOP08	NPREBOT	NBOT	TBOT	NANC	RANC	MaxEstLhood	MaxObsLhood
66263	21355	250	8	990	-3.41260e-04	-3708.537	-2951.778
14832	94178	2451	8	4165	-3.46497e-04	-3703.521	-2951.778
24808	43822	466	8	2382	-3.23577e-04	-3707.596	-2951.778
70031	72955	7998	7	1974	-4.01087e-04	-3707.178	-2951.778
20939	17197	187	10	705	-3.54921e-04	-3705.870	-2951.778
25544	38854	727	9	1856	-3.37932e-04	-3707.576	-2951.778
32040	18695	407	10	782	-3.52684e-04	-3707.133	-2951.778
37320	25455	616	8	460	-4.45938e-04	-3715.09915	-2951.778
28321	25696	609	10	1367	-3.25969e-04	-3708.741	-2951.778
20750	50855	1017	8	2436	-3.37625e-04	-3707.826	-2951.778
15227	55923	1305	8	2026	-3.68657e-04	-3707.071	-2951.778
12360	29055	459	12	1304	-3.44862e-04	-3709.765	-2951.778
6878	91947	16323	4	755	-5.33583e-04	-3708.742	-2951.778
71502	6766	146	10	316	-3.40436e-04	-3707.735	-2951.778
14329	48848	1693	10	1858	-3.63246e-04	-3710.026	-2951.778
55923	8116	265	11	317	-3.60299e-04	-3708.515	-2951.778
41546	82592	2125	6	2974	-3.69334e-04	-3708.249	-2951.778
58627	52925	2261	8	2802	-3.26505e-04	-3708.821	-2951.778
17867	16416	250	12	776	-3.39095e-04	-3707.839	-2951.778
21037	22724	467	11	977	-3.49632e-04	-3707.963	-2951.778
21278	139014	16365	4	5082	-3.67652e-04	-3705.454	-2951.778
35869	62499	3727	8	2369	-3.63631e-04	-3708.480	-2951.778
30550	25817	423	9	1153	-3.45407e-04	-3708.415	-2951.778
17354	120032	7903	6	3067	-4.07451e-04	-3706.689	-2951.778
16719	88140	3907	8	2956	-3.77232e-04	-3708.801	-2951.778
20019	29101	633	10	1121	-3.61839e-04	-3708.292	-2951.778
20767	81905	2828	7	1602	-4.37145e-04	-3707.831	-2951.778
10474	97311	5309	6	2177	-4.22218e-04	-3709.186	-2951.778
17799	99193	35574	4	1867	-4.41415e-04	-3709.169	-2951.778
4108	130467	38873	4	4372	-3.77322e-04	-3707.601	-2951.778
21710	23464	295	9	1269	-3.24138e-04	-3708.113	-2951.778
30022	40504	1104	10	2544	-3.07518e-04	-3708.68050	-2951.778
30184	45503	1818	9	1622	-3.70458e-04	-3707.322	-2951.778
50488	110474	9041	4	1985	-4.46573e-04	-3708.203	-2951.778
87232	90918	12982	7	3623	-3.58073e-04	-3707.689	-2951.778
33678	128231	32103	4	4836	-3.64194e-04	-3706.823	-2951.778
9852	66359	1023	9	3313	-3.33025e-04	-3708.055	-2951.778
20394	44765	1646	10	2129	-3.38419e-04	-3707.764	-2951.778
68597	37198	1276	8	1750	-3.39627e-04	-3708.231	-2951.778
64593	12241	261	9	400	-3.80120e-04	-3708.06679	-2951.778
73974	12423	250	9	506	-3.55641e-04	-3707.494	-2951.778
29213	21643	625	11	945	-3.47917e-04	-3709.146	-2951.778
22358	51147	1310	9	2131	-3.53124e-04	-3708.789	-2951.778
47270	18550	551	10	768	-3.53826e-04	-3709.138	-2951.778
12071	31684	857	11	1110	-3.72384e-04	-3708.039	-2951.778
36234	109211	2791	6	4303	-3.59330e-04	-3706.56562	-2951.778
10224	30882	351	10	1202	-3.60687e-04	-3709.677	-2951.778
21164	108324	9325	4	2235	-4.31210e-04	-3706.342	-2951.778
21683	92479	8794	4	371	-6.13171e-04	-3710.382	-2951.778
7530	139153	54323	4	5575	-3.57476e-04	-3704.777	-2951.778
