NPOP08	NANC	NBOTTWO	TBOTTWO	TLENTWO	NBOTONE	TBOTONE	TLENONE	NOLD	MaxEstLhood	MaxObsLhood
20279	30562	707	7	1	18945	9	2	37527	-3274.149	-2548.442
50815	18289	479	7	1	17610	11	3	35697	-3273.871	-2548.442
10514	15365	1729	12	1	8281	9	3	39232	-3273.927	-2548.442
35979	4542	21310	5	3	24359	8	1	27248	-3273.969	-2548.442
25435	2865	17533	7	2	8507	4	2	56269	-3274.249	-2548.442
8648	8707	6878	2	2	1680	6	3	57312	-3272.586	-2548.442
11538	20012	4044	2	1	1907	3	4	44815	-3272.764	-2548.442
8884	2226	16253	6	1	10796	3	3	49404	-3274.559	-2548.442
8883	8591	3526	8	1	11727	8	2	56527	-3273.266	-2548.442
42593	6162	5054	3	3	8399	6	2	26564	-3275.103	-2548.442
27308	16896	13052	6	2	3053	6	2	45831	-3272.806	-2548.442
40869	1721	3933	4	4	13695	2	3	25833	-3273.606	-2548.442
19962	2184	11126	4	2	7403	3	2	40814	-3273.863	-2548.442
21407	6658	11732	3	3	2681	9	3	58571	-3274.034	-2548.442
9315	14184	46491	4	1	2067	11	2	37129	-3274.778	-2548.442
14073	12425	6745	4	3	798	4	1	57826	-3272.715	-2548.442
41036	19261	1337	7	2	49483	7	2	45704	-3274.872	-2548.442
22831	2061	5204	6	2	7816	2	3	47800	-3272.859	-2548.442
30092	7098	5112	9	3	13606	3	2	90410	-3272.403	-2548.442
42901	7003	3874	9	2	3544	5	3	53018	-3272.509	-2548.442
9617	8317	8111	4	3	3499	4	2	58735	-3270.700	-2548.442
12922	7423	2393	7	2	2955	3	2	93342	-3273.243	-2548.442
18715	19940	2489	8	3	10135	9	2	54728	-3274.221	-2548.442
10310	3022	7699	4	2	43648	4	1	64871	-3274.445	-2548.442
9301	27750	3803	7	2	8874	8	3	62451	-3272.662	-2548.442
30193	3621	2118	4	2	16772	4	3	39881	-3274.906	-2548.442
10007	4801	11283	4	2	8653	9	2	30251	-3272.232	-2548.442
22638	22402	3216	6	2	2952	10	2	29873	-3273.078	-2548.442
19128	7476	36606	6	2	4944	8	2	54539	-3275.026	-2548.442
9715	9320	9545	8	3	1170	5	1	64114	-3274.158	-2548.442
7764	3686	20491	7	1	1955	4	2	44344	-3271.430	-2548.442
14393	4232	4286	9	1	6784	5	1	61947	-3273.292	-2548.442
20360	23132	5297	9	2	1039	7	2	42223	-3273.381	-2548.442
13860	4056	50649	9	1	25692	5	3	41218	-3275.476	-2548.442
22332	12339	4042	6	3	3419	12	2	58880	-3272.935	-2548.442
8438	3603	26646	8	2	10862	5	2	73291	-3273.476	-2548.442
30046	47132	831	9	1	6361	6	2	28112	-3274.027	-2548.442
15782	9895	1185	8	2	28961	5	2	31443	-3274.127	-2548.442
12195	8309	32398	5	2	8026	9	1	26589	-3272.919	-2548.442
14713	22441	510	7	1	20895	4	1	33146	-3271.885	-2548.442
30574	6008	5169	8	2	11088	8	2	67325	-3272.242	-2548.442
30696	28909	7153	3	2	3174	6	4	24846	-3272.444	-2548.442
18122	1965	1965	6	1	48264	2	1	51242	-3272.130	-2548.442
10551	3899	13536	9	2	36597	5	2	52837	-3272.577	-2548.442
9092	7201	19075	4	1	9461	6	2	60726	-3273.026	-2548.442
12129	18437	22579	7	2	8473	8	4	70914	-3274.248	-2548.442
21542	24679	39917	7	3	696	7	1	52716	-3273.850	-2548.442
11388	20859	12251	5	1	877	8	2	49301	-3275.208	-2548.442
26389	3345	8578	6	2	4585	4	3	50262	-3274.108	-2548.442
40283	14581	2386	8	3	4343	7	2	48861	-3271.088	-2548.442
