NPOP08	NPREBOT	NBOT	TBOT	TLEN	NANC	RANC	MaxEstLhood	MaxObsLhood
47534	11296	217	13	2	588	-3.28386e-04	-3133.964	-2412.643
59627	17472	290	12	3	1063	-3.11056e-04	-3211.555	-2457.376
54465	16978	311	12	2	1040	-3.10300e-04	-3234.801	-2453.858
58784	18910	336	11	2	1043	-3.21954e-04	-3240.495	-2457.182
82669	20674	289	10	2	1129	-3.23061e-04	-3177.956	-2434.832
79888	14187	385	11	3	783	-3.21883e-04	-3223.123	-2451.228
51658	14054	295	11	3	766	-3.23276e-04	-3211.785	-2457.269
13041	22979	228	14	2	1114	-3.36292e-04	-3118.920	-2414.088
46604	14399	328	12	2	680	-3.39202e-04	-3167.982	-2423.348
69113	18586	175	10	3	1156	-3.08605e-04	-3190.030	-2431.394
18184	20201	228	12	2	874	-3.48934e-04	-3166.101	-2461.034
51252	21446	826	13	3	1681	-2.82905e-04	-3248.012	-2453.909
73836	14539	414	13	1	681	-3.40114e-04	-3137.385	-2413.777
46110	10868	113	11	3	653	-3.12445e-04	-3207.575	-2462.519
62455	24202	319	10	1	1254	-3.28900e-04	-3147.836	-2399.545
57405	11113	127	12	1	696	-3.07836e-04	-3191.733	-2410.325
27756	7531	115	14	1	370	-3.34809e-04	-3113.662	-2404.868
45244	12409	123	11	1	671	-3.24156e-04	-3176.283	-2425.113
41671	12927	369	16	2	700	-3.23999e-04	-3176.136	-2414.254
23860	15466	219	13	1	766	-3.33913e-04	-3085.925	-2391.468
22566	13416	153	14	2	780	-3.16101e-04	-3189.782	-2431.472
29924	21985	638	14	1	1126	-3.30188e-04	-3180.213	-2455.606
96831	19355	475	11	3	1058	-3.22952e-04	-3214.884	-2444.635
58594	12671	286	11	2	571	-3.44409e-04	-3153.487	-2438.584
40799	26010	465	12	1	1623	-3.08245e-04	-3250.443	-2446.505
70094	13478	160	11	2	671	-3.33338e-04	-3108.379	-2393.930
26449	16198	156	11	3	800	-3.34226e-04	-3125.127	-2413.692
14844	59869	388	9	1	3231	-3.24374e-04	-3229.091	-2463.386
18504	42213	558	13	2	2693	-3.05786e-04	-3222.355	-2442.236
47443	14423	230	11	2	830	-3.17239e-04	-3201.513	-2420.661
43051	18126	269	12	3	1088	-3.12556e-04	-3218.878	-2447.566
76903	8939	271	12	3	538	-3.12258e-04	-3190.251	-2414.504
13468	21420	173	12	1	1227	-3.17750e-04	-3167.933	-2428.171
17960	45041	442	12	2	2986	-3.01515e-04	-3172.486	-2420.460
47046	14111	153	11	2	633	-3.44915e-04	-3114.762	-2395.821
30300	19116	280	12	3	952	-3.33302e-04	-3172.676	-2428.081
28014	12047	135	12	2	614	-3.30731e-04	-3154.807	-2432.293
79754	17575	530	11	2	915	-3.28368e-04	-3152.066	-2414.697
78543	14854	228	11	1	1068	-2.92498e-04	-3260.094	-2456.205
44234	25917	413	11	2	1718	-3.01526e-04	-3151.702	-2421.847
19570	15614	272	13	2	829	-3.26189e-04	-3216.658	-2448.178
54206	12198	213	10	3	717	-3.14883e-04	-3253.505	-2476.338
38769	40140	515	9	1	2429	-3.11655e-04	-3235.403	-2444.658
81636	12555	276	12	2	755	-3.12351e-04	-3193.689	-2423.178
25878	15377	253	14	1	770	-3.32693e-04	-3126.843	-2431.054
47505	14711	165	11	1	757	-3.29665e-04	-3103.326	-2398.786
66089	25701	440	11	1	1392	-3.23976e-04	-3157.367	-2402.358
39195	14885	315	11	3	702	-3.39353e-04	-3200.842	-2446.173
69843	8739	207	12	2	451	-3.29343e-04	-3119.311	-2395.056
37790	52666	558	9	3	2333	-3.46313e-04	-3105.506	-2400.174
51411	29126	640	12	2	1730	-3.13723e-04	-3150.936	-2413.652
42351	13400	237	12	1	670	-3.32859e-04	-3149.307	-2421.273
27364	38859	1026	13	1	2797	-2.92377e-04	-3193.212	-2413.780
39971	17120	309	12	2	952	-3.21049e-04	-3194.232	-2448.668
57082	24871	718	10	2	877	-3.71661e-04	-3177.520	-2442.595
79856	14950	609	12	1	925	-3.09186e-04	-3197.273	-2438.402
36089	17059	226	11	1	970	-3.18571e-04	-3194.629	-2430.852
44102	19721	273	11	3	1275	-3.04304e-04	-3200.354	-2425.105
23372	20923	181	12	3	894	-3.50322e-04	-3069.383	-2384.684
63268	12198	230	12	3	561	-3.42145e-04	-3060.482	-2381.095
28944	25061	343	12	2	1225	-3.35375e-04	-3225.243	-2448.076
56251	10266	167	12	1	617	-3.12414e-04	-3222.723	-2437.704
16968	29956	415	11	3	1833	-3.10420e-04	-3193.886	-2441.947
45636	12042	380	14	1	651	-3.24183e-04	-3183.297	-2420.268
9254	29770	242	12	3	1746	-3.15130e-04	-3243.745	-2479.042
75855	23507	486	10	1	1008	-3.49926e-04	-3141.078	-2433.446
51572	49909	919	9	1	2656	-3.25931e-04	-3168.438	-2429.297
12661	36217	329	11	2	1839	-3.31145e-04	-3187.831	-2441.447
43592	8516	190	13	2	398	-3.40361e-04	-3167.875	-2418.794
24661	17222	202	12	1	765	-3.46007e-04	-3128.019	-2424.379
53821	21895	492	12	1	1185	-3.24057e-04	-3194.048	-2430.763
45434	20459	424	11	4	1381	-2.99513e-04	-3242.800	-2442.629
36409	27644	388	12	4	1527	-3.21789e-04	-3197.051	-2420.844
73891	25166	436	10	2	1186	-3.39434e-04	-3171.596	-2433.433
50481	17362	378	11	3	1193	-2.97535e-04	-3218.206	-2405.966
86964	20454	616	11	1	1056	-3.29299e-04	-3113.389	-2424.810
36021	36158	596	10	3	1768	-3.35339e-04	-3149.188	-2421.630
43483	18300	366	12	3	977	-3.25574e-04	-3156.143	-2415.953
18927	15051	138	11	2	679	-3.44287e-04	-3172.058	-2440.365
64370	17263	405	12	1	1217	-2.94686e-04	-3232.517	-2428.629
23172	33621	353	11	2	1760	-3.27760e-04	-3127.964	-2401.105
82177	12185	472	11	1	660	-3.23969e-04	-3190.614	-2448.699
25742	38608	666	12	3	1632	-3.51517e-04	-3085.298	-2392.285
59202	11113	218	12	2	450	-3.56291e-04	-3082.166	-2383.718
27024	18732	314	13	2	1097	-3.15295e-04	-3222.037	-2463.817
23297	15467	154	12	1	763	-3.34356e-04	-3103.815	-2404.471
71812	16474	282	10	1	939	-3.18303e-04	-3147.402	-2419.437
83059	13310	427	11	1	796	-3.12964e-04	-3229.955	-2466.984
17932	67290	1130	13	1	3623	-3.24634e-04	-3113.353	-2411.068
33123	17445	288	13	2	1124	-3.04684e-04	-3234.076	-2437.766
23399	23107	157	11	4	1051	-3.43377e-04	-3125.662	-2417.347
60260	27460	1407	13	1	1411	-3.29826e-04	-3190.357	-2452.666
87438	41412	3032	11	2	2101	-3.31240e-04	-3169.742	-2452.402
77577	7811	130	11	1	378	-3.36488e-04	-3140.246	-2426.244
42854	11113	239	12	3	542	-3.35623e-04	-3160.020	-2447.911
36436	17714	210	11	3	1144	-3.04425e-04	-3226.904	-2446.149
19945	51491	1352	13	1	2887	-3.20132e-04	-3232.346	-2448.759
73479	23466	698	11	1	1406	-3.12756e-04	-3215.545	-2435.863
35083	24302	409	11	1	1283	-3.26818e-04	-3162.079	-2439.932
50250	23126	594	12	2	1348	-3.15815e-04	-3183.513	-2437.187
