NPOP08	NANC	NBOT	TBOT	TLEN	MaxEstLhood	MaxObsLhood
11058	14939	219	15	3	-3802.022	-2945.216
17737	12100	193	11	3	-3801.720	-2945.216
13203	23080	116	14	1	-3803.218	-2945.216
26394	15733	165	9	2	-3803.360	-2945.216
34584	19553	196	8	2	-3803.715	-2945.216
21733	38922	285	9	3	-3803.505	-2945.216
42321	65591	122	9	4	-3802.861	-2945.216
13415	16707	309	12	4	-3801.786	-2945.216
26881	48749	109	11	3	-3802.178	-2945.216
18505	27154	181	10	2	-3802.461	-2945.216
15827	31972	130	13	3	-3801.532	-2945.216
10495	19789	285	18	3	-3799.832	-2945.216
21011	70314	133	11	2	-3802.520	-2945.216
13489	69021	257	13	2	-3803.026	-2945.216
10934	41581	220	15	3	-3799.429	-2945.216
9992	12720	288	12	1	-3803.741	-2945.216
17933	20571	138	12	3	-3801.621	-2945.216
11630	12049	179	12	3	-3802.796	-2945.216
12613	51165	195	13	2	-3802.271	-2945.216
19525	13008	249	10	3	-3803.878	-2945.216
13409	39539	280	10	4	-3802.582	-2945.216
15363	23154	216	11	3	-3801.895	-2945.216
55494	16437	166	8	3	-3804.045	-2945.216
20893	40897	138	11	3	-3801.225	-2945.216
16885	13246	243	11	2	-3801.493	-2945.216
17647	18549	132	11	3	-3801.584	-2945.216
15977	17884	142	12	3	-3801.571	-2945.216
13949	54401	319	9	2	-3802.618	-2945.216
17343	10850	150	13	3	-3802.126	-2945.216
12745	4204	331	12	3	-3803.482	-2945.216
14396	53652	124	15	1	-3801.230	-2945.216
10742	31244	251	14	1	-3802.779	-2945.216
24703	22290	173	12	4	-3800.772	-2945.216
17653	28957	276	12	2	-3802.794	-2945.216
31646	25174	264	9	3	-3802.921	-2945.216
13107	19113	284	13	3	-3802.610	-2945.216
36394	46103	136	11	2	-3803.741	-2945.216
7994	35675	371	17	2	-3801.412	-2945.216
16982	44130	160	10	1	-3804.668	-2945.216
17119	18964	191	14	4	-3799.944	-2945.216
19161	3548	137	11	3	-3802.162	-2945.216
19415	28674	153	11	3	-3802.387	-2945.216
24150	17188	263	10	3	-3801.993	-2945.216
25678	67400	228	8	3	-3800.982	-2945.216
20076	14721	156	12	3	-3804.031	-2945.216
16442	35098	195	10	3	-3801.972	-2945.216
11218	10391	268	12	2	-3802.833	-2945.216
21323	10503	218	11	3	-3803.892	-2945.216
37297	28579	133	9	3	-3800.840	-2945.216
41111	15172	191	9	3	-3802.600	-2945.216
