NPOP08	NANC	NBOT	TBOT	TLEN	NOLD	RANC	MaxEstLhood	MaxObsLhood
16758	111261	3468	7	2	2598	-4.17460e-04	-3693.138	-2945.216
16833	11842	853	6	5	5041	-9.48942e-05	-3761.457	-2945.216
13487	92782	374	7	1	476	-5.85843e-04	-3695.72029	-2945.216
7947	121334	27774	4	3	2895	-4.15062e-04	-3691.643	-2945.216
21672	78281	4714	6	1	247	-6.39852e-04	-3695.013	-2945.216
45297	124351	14993	5	3	2539	-4.32371e-04	-3691.705	-2945.216
13292	7825	326	7	2	3293	-9.61694e-05	-3778.131	-2945.216
25165	114070	950	7	1	3362	-3.91586e-04	-3692.857	-2945.216
9698	102587	6727	5	2	1243	-4.90354e-04	-3695.990	-2945.216
14608	99355	220	7	3	671	-5.55298e-04	-3693.333	-2945.216
14879	5188	292	7	2	2246	-9.30219e-05	-3795.254	-2945.216
21563	32803	563	7	4	13802	-9.61896e-05	-3742.699	-2945.216
516	462	4580	12	6	35031	4.80936e-04	-4164.534	-2945.216
13265	10052	160	7	1	4361	-9.27856e-05	-3768.013	-2945.216
10497	9270	671	7	4	4072	-9.14055e-05	-3774.451	-2945.216
10060	26053	139	7	1	10857	-9.72581e-05	-3745.631	-2945.216
14824	26794	477	7	3	11507	-9.39136e-05	-3743.651	-2945.216
8913	7028	371	7	2	2977	-9.54429e-05	-3782.420	-2945.216
40632	80089	27786	4	3	277	-6.29653e-04	-3695.800	-2945.216
8945	50409	7989	2	2	94047	6.92917e-05	-3833.941	-2945.216
24456	133018	214	7	1	2481	-4.42425e-04	-3691.934	-2945.216
17607	29417	426	7	3	11995	-9.96759e-05	-3740.625	-2945.216
15456	12026	305	7	2	5112	-9.50534e-05	-3764.218	-2945.216
25895	108026	387	8	1	2170	-4.34183e-04	-3692.911	-2945.216
13915	122065	18870	4	4	3670	-3.89374e-04	-3691.429	-2945.216
14451	23449	494	8	3	9588	-9.93684e-05	-3745.307	-2945.216
13012	73611	7208	6	1	331	-6.00492e-04	-3693.725	-2945.216
7821	23900	503	7	3	10034	-9.64332e-05	-3746.460	-2945.216
16722	23960	641	7	4	10604	-9.05727e-05	-3747.015	-2945.216
13986	10167	259	7	2	4321	-9.50734e-05	-3768.653	-2945.216
15990	105990	2870	5	2	1706	-4.58799e-04	-3694.770	-2945.216
20629	99511	9126	3	4	1239	-4.87329e-04	-3693.175	-2945.216
855	587	14008	44	3	11910	3.34457e-04	-3976.058	-2945.216
23060	124972	23218	7	2	3742	-3.89830e-04	-3693.559	-2945.216
26302	24918	307	8	2	10750	-9.34094e-05	-3743.236	-2945.216
31451	124883	13231	6	2	3207	-4.06893e-04	-3692.53414	-2945.216
17264	131539	341	7	2	3869	-3.91812e-04	-3690.743	-2945.216
49897	34279	323	7	2	14283	-9.72737e-05	-3741.65351	-2945.216
18429	139867	4417	6	1	5338	-3.62871e-04	-3691.983	-2945.216
17155	6043	154	7	1	2482	-9.88707e-05	-3787.22736	-2945.216
10245	20543	353	8	2	8973	-9.20334e-05	-3750.482	-2945.216
15343	118558	13400	5	2	3103	-4.04781e-04	-3691.526	-2945.216
10296	81074	21157	6	1	553	-5.54196e-04	-3692.220	-2945.216
8845	116239	189	7	3	1478	-4.84995e-04	-3693.010	-2945.216
43568	35967	362	7	3	14866	-9.81695e-05	-3742.310	-2945.216
12606	31290	452	7	3	12964	-9.79025e-05	-3741.239	-2945.216
12089	45399	454	8	3	18640	-9.89089e-05	-3739.448	-2945.216
9270	16539	378	7	2	6728	-9.99381e-05	-3754.249	-2945.216
27452	137754	26530	4	3	4082	-3.90987e-04	-3690.764	-2945.216
37300	84914	2715	5	2	352	-6.09529e-04	-3694.153	-2945.216
